order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,timestamp_saved
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,DB,2024-04-30 13:51:08.897597
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,DB,2024-04-30 13:51:08.897597
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,DB,2024-04-30 13:51:08.897597
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,DB,2024-04-30 13:51:08.897597
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,DB,2024-04-30 13:51:08.897597
6,94,4,1016-01-04,1016-01-07,1016-01-05,2,6,DB,2024-04-30 13:51:08.897597
7,324,4,1016-01-04,1016-01-07,1016-01-05,2,6,DB,2024-04-30 13:51:08.897597
8,1204,4,1016-01-04,1016-01-05,1016-01-05,2,7,DB,2024-04-30 13:51:08.897597
9,60,4,1016-01-05,1016-01-08,1016-01-08,1,2,DB,2024-04-30 13:51:08.897597
10,442,4,1016-01-05,1016-01-06,1016-01-06,2,6,DB,2024-04-30 13:51:08.897597
11,1326,4,1016-01-05,1016-01-08,1016-01-07,2,7,DB,2024-04-30 13:51:08.897597
12,91,4,1016-01-06,1016-01-08,1016-01-09,1,2,DB,2024-04-30 13:51:08.897597
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,DB,2024-04-30 13:51:08.897597
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,DB,2024-04-30 13:51:08.897597
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,DB,2024-04-30 13:51:08.897597
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,DB,2024-04-30 13:51:08.897597
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,DB,2024-04-30 13:51:08.897597
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,DB,2024-04-30 13:51:08.897597
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,DB,2024-04-30 13:51:08.897597
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,DB,2024-04-30 13:51:08.897597
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,DB,2024-04-30 13:51:08.897597
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,DB,2024-04-30 13:51:08.897597
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,DB,2024-04-30 13:51:08.897597
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,DB,2024-04-30 13:51:08.897597
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,DB,2024-04-30 13:51:08.897597
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,DB,2024-04-30 13:51:08.897597
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,DB,2024-04-30 13:51:08.897597
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,DB,2024-04-30 13:51:08.897597
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,DB,2024-04-30 13:51:08.897597
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,DB,2024-04-30 13:51:08.897597
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,DB,2024-04-30 13:51:08.897597
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,DB,2024-04-30 13:51:08.897597
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,DB,2024-04-30 13:51:08.897597
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,DB,2024-04-30 13:51:08.897597
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,DB,2024-04-30 13:51:08.897597
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,DB,2024-04-30 13:51:08.897597
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,DB,2024-04-30 13:51:08.897597
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,DB,2024-04-30 13:51:08.897597
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,DB,2024-04-30 13:51:08.897597
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,DB,2024-04-30 13:51:08.897597
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,DB,2024-04-30 13:51:08.897597
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,DB,2024-04-30 13:51:08.897597
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,DB,2024-04-30 13:51:08.897597
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,DB,2024-04-30 13:51:08.897597
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,DB,2024-04-30 13:51:08.897597
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,DB,2024-04-30 13:51:08.897597
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,DB,2024-04-30 13:51:08.897597
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,DB,2024-04-30 13:51:08.897597
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,DB,2024-04-30 13:51:08.897597
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,DB,2024-04-30 13:51:08.897597
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,DB,2024-04-30 13:51:08.897597
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,DB,2024-04-30 13:51:08.897597
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,DB,2024-04-30 13:51:08.897597
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,DB,2024-04-30 13:51:08.897597
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,DB,2024-04-30 13:51:08.897597
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,DB,2024-04-30 13:51:08.897597
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,DB,2024-04-30 13:51:08.897597
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,DB,2024-04-30 13:51:08.897597
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,DB,2024-04-30 13:51:08.897597
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,DB,2024-04-30 13:51:08.897597
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,DB,2024-04-30 13:51:08.897597
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,DB,2024-04-30 13:51:08.897597
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,DB,2024-04-30 13:51:08.897597
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,DB,2024-04-30 13:51:08.897597
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,DB,2024-04-30 13:51:08.897597
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,DB,2024-04-30 13:51:08.897597
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,DB,2024-04-30 13:51:08.897597
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,DB,2024-04-30 13:51:08.897597
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,DB,2024-04-30 13:51:08.897597
70,50,3,2016-02-11,2016-02-11,,3,9,DB,2024-04-30 13:51:08.897597
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,DB,2024-04-30 13:51:08.897597
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,DB,2024-04-30 13:51:08.897597
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,DB,2024-04-30 13:51:08.897597
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,DB,2024-04-30 13:51:08.897597
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,DB,2024-04-30 13:51:08.897597
76,9,3,2016-02-16,2016-02-16,,2,6,DB,2024-04-30 13:51:08.897597
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,DB,2024-04-30 13:51:08.897597
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,DB,2024-04-30 13:51:08.897597
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,DB,2024-04-30 13:51:08.897597
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,DB,2024-04-30 13:51:08.897597
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,DB,2024-04-30 13:51:08.897597
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,DB,2024-04-30 13:51:08.897597
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,DB,2024-04-30 13:51:08.897597
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,DB,2024-04-30 13:51:08.897597
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,DB,2024-04-30 13:51:08.897597
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,DB,2024-04-30 13:51:08.897597
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,DB,2024-04-30 13:51:08.897597
